Title,Address,Type,Area,Price
" Biệt thự Sunneva Island, vị trí ngã ba sông Hàn độc tôn đẹp nhất, khu đô thị đẳng cấp nhất Đà Nẵng","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",240,36000.0
 Ra mắt siêu phẩm Sunneva Island - biệt thự đảo kim cương - Euro Village 3 Đà Nẵng - 0932560868,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
 Độc nhất vô nhị - Biệt thự đảo kim cương - Đô thị đẳng cấp - Thành phố đáng sống nhất Việt Nam,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,45000.0
 Chính chủ bán căn hộ Dual Key Tầng 16 dự án The 6Nature Đà Nẵng,"Phường Phước Mỹ,  Sơn Trà",Bán căn hộ chung cư,120,
 Sunneva Island - biệt thự đảo xanh - vùng đất tôn vinh vị thế chủ nhân - Ocean Villas Hyatt regency,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",240,21120000.0
" Chỉ cần 1,5 tỷ sở hữu ngay lô đất nền ngay KĐT Nam Hòa Xuân ven sông ngay Tp Đà Nẵng","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,
 Cần bán nhà phố thương mại Regal Pavillon Đà Nẵng nằm ở quỹ đất kim cương cuối cùng tại Hải Châu,"Phường Hòa Cường Nam,  Hải Châu","Bán shophouse, nhà phố thương mại",120,18700.0
" Bán đất nền ngay trung tâm Đà Nẵng sổ hồng trao tay chỉ cần 1,5 tỷ sở hữu ngay. NH hỗ trợ vay 80%","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,
" Bán villa Sunneva Island với bốn mặt giáp sông Hàn tại Tp Đà Nẵng, vị trí kim cương","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
 Biệt thự đẳng cấp nhất Đà Nẵng - Sunneva Island tại đảo Đồng Nò - Sở hữu lâu dài chỉ từ 90tr/m2,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
 Sở hữu vĩnh viễn biệt thự Sunneva Island đẳng cấp nhất của Sun Group tại Đà Nẵng - Giá từ 1xx tr/m2,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",275,31000.0
" Độc quyền 10 lô đất nền Tp Đà Nẵng không phải xây dựng, giá tốt nhất thị trường, LH nhận chiết khấu", Liên Chiểu,Bán đất nền dự án,90,2100.0
 Sở hữu ngay đất biệt thự khu biệt lập Euro Village 2 view sông hàn giá tốt nhất - 0932560868,"Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,300,
" Hot! Chính chủ cần bán nhanh nhà đẹp mặt tiền đường Trần Đình Tri, P. Hòa Minh, Liên Chiểu, Đà Nẵng","Phường Hòa Minh,  Liên Chiểu",Bán nhà mặt phố,125,12500.0
" Bán đất biển Nguyễn Tất Thành Đà Nẵng, giá chỉ từ 25 tr/m2. Sổ đỏ lâu dài. Cách Vin Làng Vân 8 phút", Liên Chiểu,Bán đất nền dự án,100,2700000.0
" Bán 2 lô đất liền kề kiệt Phạm Văn Nghị, Quận Thanh Khê, Tp Đà Nẵng","Phường Thạc Gián,  Thanh Khê",Bán đất,51,2450.0
" Bán nhà riêng gần biển, gần chợ, gần trường học, bệnh viện cùng các tiện ích khác","Phường Hòa Minh,  Liên Chiểu",Bán nhà riêng,76,4700.0
 V5 FPT City: Hướng chính Bắc 90m2,"Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,90,
" Tin giật gân: Căn hộ mặt biển Mỹ Khê duy nhất còn sót lại giá chỉ 1,89 tỷ. Bàn giao full nội thất","Phường Mỹ An,  Ngũ Hành Sơn",Bán condotel,60,
" Sungroup ra mắt biệt thự, shophouse trên Đảo Kim Cương tại thành phố Đà Nẵng","Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",200,21800000.0
" Đất nền dự án Dragon City Park - Đà Nẵng, giá trực tiếp chủ đầu tư, chỉ từ 2.05 tỷ/lô", Liên Chiểu,Bán đất nền dự án,100,2050.0
 Chủ nhà bán 1 tòa khách sạn ở ngay bãi biển Mỹ Khê đẹp nhất Đà Nẵng,"Phường Mỹ An,  Ngũ Hành Sơn",Bán nhà mặt phố,284,105000.0
" Trực tiếp CĐT Sun mở bán quỹ căn đẹp giá tốt nhất thị trường, sổ đỏ từng lô, giảm 8% cho 100 lô đầu","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,4500.0
" Duy nhất! Lô góc 3 mặt tiền, dự án Dragon City Park - Đà Nẵng chỉ 24 tr/m2", Liên Chiểu,Bán đất nền dự án,131,3144000.0
 Giỏ hàng định danh chiết khấu cao Sunneva Island - đảo kim cương Đà Nẵng của Sun Group,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",150,25000.0
" Đất nền pháp lý chuẩn Dragon City Park Đà Nẵng, 10 lô ngoại giao giá F0 trực tiếp từ chủ đầu tư","Phường Hòa Hiệp Nam,  Liên Chiểu",Bán đất nền dự án,100,
 Bán nhà chính chủ MT ngang 14m đường Hải Phòng,"Phường Tân Chính,  Thanh Khê",Bán nhà mặt phố,214,
 Nhà phố hạng sang Regal Pavillon 6 sao trung tâm Quận Hải Châu Đà Nẵng chỉ duy nhất 2 căn cuối cùng,"Phường Hòa Cường Nam,  Hải Châu",Bán nhà mặt phố,120,19000.0
 Chính thức mở bán 46 căn biệt thự biển Đà Nẵng Fusion Resort & Villas với mức giá vô cùng ấn tượng!, Ngũ Hành Sơn,"Bán nhà biệt thự, liền kề",370,14600.0
" Hot! Bán đất nền đường Cồn Dầu, Lê Quảng Chí KĐT Hòa Xuân - Đà Nẵng sổ đỏ sẵn - CĐT Sun Group CK 8%","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,4300.0
" Đang hot đất nền trung tâm Đà Nẵng, gần biển của chủ đầu tư Sun Group, chỉ 240 lô cuối cùng","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4500.0
 Bán villa 5 sao đẳng cấp đầu tiên tại TP Đà Nẵng chỉ cần (10 tỷ) 30%. Sổ hồng sở hữu lâu dài,"Phường Hòa Quý,  Ngũ Hành Sơn","Bán nhà biệt thự, liền kề",300,
" SunGroup mở bán đất nền KĐT Nam Hòa Xuân sát công viên 50ha, giá ưu đãi 42tr/m2, có sổ đỏ từng lô","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,125,5250000.0
 SUNNEVA ISLAND - MÓN QUÀ TỪ MẶT TRỜI DÀNH RIÊNG CHO ĐÀ NẴNG - TƯ VẤN DỰ ÁN ĐẢO KIM CƯƠNG,"Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,300,
" Đất đường Võ Nguyên Giáp và danh sách cập nhật đất xây cao tầng, giá cạnh tranh, 0932560868", Sơn Trà,Bán đất,600,
" Đất nền KĐT Nam Hòa Xuân Tp. Đà Nẵng, giá chỉ từ 40 tr/m2 sổ đỏ lâu dài, xây dựng tự do","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,4200.0
" 2 lô đất liền kề khu tái định cư Số 4, tuyến đường ĐT 602, xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng","Xã Hòa Ninh,  Hòa Vang",Bán đất,125,7000.0
" Mở bán đất nền ngay thành phố Đà Nẵng chỉ có 1,5 tỷ là sở hữu ngay đất sát sông gần biển","Phường Hòa Xuân,  Cẩm Lệ",Bán đất nền dự án,100,
" Bán lô đất biển đường Lê Văn Quý gần Phạm Văn Đồng. Hai mặt tiền. Vỉa hè 4,5m. Sổ đỏ đầy đủ.","Phường  An Hải Bắc,  Sơn Trà",Bán đất,383,
" Bán cặp đất biển đường Võ Nguyên Giáp, Sơn Trà, Đà Nẵng mặt tiền 14m, hướng Đông view biển","Phường Mân Thái,  Sơn Trà",Bán đất,329,
" Hot SunGroup mở bán đất nền khu Đầm Sen Nam Hòa Xuân, giá gốc từ chủ đầu tư: LH: 0965192772 GĐPKDDA","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,125,
" Cần bán 5 lô đất nền ngay trung tâm Q. Liên Chiểu Đà Nẵng - giá 2 tỷ/lô rất thích hợp đầu tư, an cư", Liên Chiểu,Bán đất nền dự án,100,2000.0
" Sun Group - Mở bán phân khu Đầm Sen, chiết khấu cao + tăng 1 chỉ vàng","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,100,
" BOUTIQUEHOTEL 4,5 TẦNG 99M2 - SỞ HỮU LÂU DÀI TẠI VEN BIỂN - CHỈ 13.8 TỶ - BÀN GIAO QUÝ 3/2022","Phường Hòa Cường Nam,  Hải Châu","Bán shophouse, nhà phố thương mại",99,
" Bán lô đất DT 106.3m2 tại khu đô thị Phú Mỹ An, Ngũ Hành Sơn. LH: Chính chủ 0917.187.657","Phường Hòa Hải,  Ngũ Hành Sơn",Bán đất nền dự án,106.3,4000.0
 Chính chủ bán đất 2 mặt tiền đường Bùi Tá Hán và Đoàn Khuê,"Phường  Khuê Mỹ,  Ngũ Hành Sơn",Bán đất nền dự án,300,
" Chính chủ, bán đất khu đô thị Hoà Quý, Ngũ Hành Sơn Đà Nẵng, thông đường Minh Mạng thẳng ra biển","Phường Hòa Quý,  Ngũ Hành Sơn",Bán đất nền dự án,120,3420000.0
" Bán đất Hoà Xuân mặt tiền đường 7,5m và đường 10,5m lê quảng chí","Phường Hòa Xuân,  Cẩm Lệ",Bán đất,100,
 Bán biệt thự liền kề Marina Complex nội thất đầy đủ view sông Hàn! Lh: 0703334343,"Phường Nại Hiên Đông,  Sơn Trà","Bán nhà biệt thự, liền kề",144,14500.0
" MT Trưng Nữ Vương siêu đắc địa ngang 8,4m cách đường 2/9 50m cách Sông Hàn 250m cách Cầu Rồng 350m", Quận Hải Châu,Bán đất,170,32000.0
" 140m2 ngang 8m4 nở hậu 9m4, đường 5.5m, 2 ô tô tránh nhau, trung tâm thành phố", Thanh Khê,Bán nhà riêng,140,8700.0
 Bán nhà mặt tiền đường song song với đường 2/9 giáp Tiểu La,"Phường Hòa Cường Bắc,  Hải Châu",Bán nhà riêng,61,7100.0
